epoch,loss,val_loss
0,0.0004106345004402101,0.00019789012731052935
1,0.00022368131612893194,0.00016447519010398537
2,0.00018919397552963346,0.00014199214638210833
3,0.00017158310220111161,0.00012670105206780136
4,0.000162017167895101,0.00012397531827446073
5,0.00015410584455821663,0.00011954617366427556
6,0.00014628168719355017,0.00011315287702018395
7,0.00014021572133060545,0.00010122669482370839
8,0.0001343886397080496,0.00010110724542755634
9,0.00013185186253394932,9.589830733602867e-05
10,0.00012687414709944278,9.329878230346367e-05
11,0.00011173851817147806,8.260397589765489e-05
12,0.00010825045319506899,8.016977517399937e-05
13,0.00010658788960427046,7.833717972971499e-05
