epoch,loss,val_loss
0,0.00038508931174874306,0.00016743098967708647
1,0.00018448948685545474,0.00011401474330341443
2,0.00013895618030801415,8.617354615125805e-05
3,0.00011491691111586988,7.026580715319142e-05
4,0.00010053468577098101,5.9825677453773096e-05
5,9.088289516512305e-05,5.5114396673161536e-05
6,8.338711631949991e-05,4.738796633318998e-05
7,7.794703560648486e-05,4.3973086576443166e-05
8,7.35034846002236e-05,4.0238108340417966e-05
9,6.993749411776662e-05,3.902770913555287e-05
10,5.6777782447170466e-05,2.9238275601528585e-05
11,5.441992834676057e-05,2.7807551305158995e-05
12,5.3193103667581454e-05,2.717051211220678e-05
13,5.2298870286904275e-05,2.633719668665435e-05
14,5.114751911605708e-05,2.593019416963216e-05
15,5.1054401410510764e-05,2.5778881536098197e-05
16,5.083940413896926e-05,2.5600882509024814e-05
17,5.063516437076032e-05,2.5649456802057102e-05
18,5.0724698667181656e-05,2.5633135010139085e-05
19,5.063283606432378e-05,2.559798303991556e-05
20,5.0727740017464384e-05,2.560724169597961e-05
21,5.068313475931063e-05,2.559860877227038e-05
22,5.066562880529091e-05,2.559650420153048e-05
23,5.0436061428627e-05,2.5595461920602247e-05
24,5.0969363655894995e-05,2.559915265010204e-05
