Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
1,0.001231,0.001087,61.55,54.34,215
2,0.0003273,0.0009037,72.7,61.63,224.9
3,0.0002929,0.0008531,74.7,61.02,254.6
4,0.0002825,0.0008299,67.84,58.82,233.3
5,0.0002755,0.0008125,69.39,59.03,244.7
6,0.0002714,0.0008337,41.39,43.38,207.9
7,0.0002713,0.0008127,90.36,59.68,258.8
8,0.0002692,0.000801,100.8,57.52,236.2
9,0.0002658,0.00079,81.77,57.08,217.8
10,0.000262,0.0007816,58.53,53.71,226.3
11,0.0002601,0.000776,69.54,58.2,219.2
12,0.0002584,0.0007719,66.31,59.95,220.6
13,0.0002564,0.0007667,54.71,56.47,222
14,0.000255,0.000762,55.12,57.21,215
15,0.0002529,0.0007588,53.05,56.95,213.5
16,0.0002523,0.0007546,49.51,55.65,217.8
17,0.0002515,0.0007504,41.07,50.8,203.6
18,0.0002488,0.0007451,29.61,39.98,196.6
19,0.0002468,0.0007336,39.89,51.89,230.5
20,0.0002432,0.0007298,25.45,40.89,203.6
21,0.0002425,0.000721,26.69,42.85,206.5
22,0.0002394,0.0007093,12.08,14.46,178.2
23,0.0002369,0.0007115,14.34,21.51,206.5
24,0.0002348,0.0006972,11.68,15.08,179.6
25,0.0002314,0.0006875,10.33,11.61,162.6
26,0.0002284,0.0006911,10.8,12.54,178.2
27,0.0002301,0.0006854,10.58,11.97,169.7
28,0.0002259,0.0006766,11.24,14.34,190.9
29,0.0002252,0.0006655,10.5,12.79,165.5
30,0.0002229,0.0006645,10.44,12.51,165.5
31,0.0002199,0.0006514,10.16,11.81,161.2
32,0.0002204,0.0006665,10.95,13.8,166.9
33,0.0002214,0.0006438,10.77,13.57,173.9
34,0.0002157,0.0006341,10.12,12.25,166.9
35,0.0002152,0.0006303,10.21,12.59,154.1
36,0.0002115,0.0006445,10.25,12.83,193.7
37,0.0002127,0.0006398,9.925,11.77,100.4
38,0.0002106,0.0006293,9.769,11.85,172.5
39,0.0002042,0.0006162,9.571,11.47,131.5
40,0.000206,0.0006072,9.912,11.97,134.4
41,0.0002022,0.0006004,9.445,12.22,172.5
42,0.0002022,0.0005986,9.625,13.3,149.9
43,0.0001988,0.000588,9.837,13.22,140
44,0.0001949,0.0005868,9.61,12.23,161.2
45,0.0001962,0.0005838,9.307,13.04,90.51
46,0.0001958,0.0005754,9.209,12.55,164
47,0.000193,0.0005761,9.273,12.13,157
48,0.000193,0.00057,8.924,12.91,159.8
49,0.0001937,0.0005693,8.914,13.98,134.4
50,0.0001911,0.0005862,9.097,13.93,151.3
51,0.0001919,0.0005818,9.317,14.9,157
52,0.0001932,0.0005725,9.116,14.24,130.1
53,0.0001974,0.0005693,9.467,14.52,162.6
54,0.0001958,0.0005776,8.885,14,125.9
55,0.0001916,0.0005703,9.234,15.13,159.8
56,0.0001877,0.0005843,9.137,15.17,169.7
57,0.000187,0.0005663,8.985,15.02,140
58,0.0001826,0.0005533,8.791,14.84,157
59,0.0001835,0.0005433,8.701,14.81,144.2
60,0.0001824,0.0005423,8.798,14.85,138.6
61,0.0001822,0.0005364,8.869,14.95,138.6
62,0.0001774,0.0005311,8.955,15.32,155.6
63,0.0001702,0.0005235,8.514,14.61,147.1
64,0.0001734,0.0005298,8.479,14.87,131.5
65,0.000176,0.0005232,8.59,14.88,135.8
66,0.0001727,0.0005233,8.398,14.93,138.6
67,0.0001725,0.0005155,8.515,15.05,149.9
68,0.0001706,0.0005087,8.561,15.06,135.8
69,0.0001746,0.0005101,8.594,15.29,138.6
