epoch,loss,val_loss
0,0.000644673069473356,0.0004408832755871117
1,0.00029828702099621296,0.00019434305431786925
2,0.00017443076649215072,0.00013452157145366073
3,0.00013249834591988474,9.914566908264533e-05
4,0.00010688733163988218,7.655836816411465e-05
5,8.87093337951228e-05,6.626243703067303e-05
6,8.096507372101769e-05,6.471123924711719e-05
7,7.637208182131872e-05,5.9302728914190084e-05
8,6.932917312951759e-05,6.0468380979727954e-05
9,5.647922444040887e-05,3.2819156331242993e-05
10,5.104502270114608e-05,3.1226005376083776e-05
11,4.9104644858743995e-05,3.0203893402358517e-05
12,4.773350519826636e-05,2.899472565331962e-05
13,4.648378671845421e-05,2.873080302379094e-05
14,4.62277457700111e-05,2.8470913093769923e-05
15,4.605524372891523e-05,2.8193220714456402e-05
16,4.596016515279189e-05,2.8365535399643704e-05
17,4.596749568008818e-05,2.836494786606636e-05
18,4.5941105781821534e-05,2.835288250935264e-05
19,4.589089803630486e-05,2.8340891731204465e-05
20,4.592314508045092e-05,2.833475809893571e-05
21,4.593777339323424e-05,2.8315349481999874e-05
22,4.5862208935432136e-05,2.8316386305959895e-05
23,4.595775681082159e-05,2.831714846251998e-05
24,4.5884709834354e-05,2.831795791280456e-05
25,4.592103505274281e-05,2.8317972464719787e-05
26,4.5924116420792416e-05,2.831798337865621e-05
27,4.592007462633774e-05,2.8318001568550244e-05
28,4.593944322550669e-05,2.8317997930571437e-05
29,4.5881984988227487e-05,2.8318001568550244e-05
30,4.5903150748927146e-05,2.831799429259263e-05
31,4.599975000019185e-05,2.8317997930571437e-05
32,4.591041579260491e-05,2.8317997930571437e-05
33,4.596128565026447e-05,2.8318001568550244e-05
34,4.591038668877445e-05,2.8317997930571437e-05
35,4.5859684178140014e-05,2.8317997930571437e-05
36,4.592301047523506e-05,2.8318001568550244e-05
37,4.590634489431977e-05,2.8318001568550244e-05
38,4.58929171145428e-05,2.8317997930571437e-05
39,4.5915374357718974e-05,2.8317997930571437e-05
40,4.592522600432858e-05,2.8318001568550244e-05
