epoch,loss,val_loss
0,0.0004837212909478694,0.0002653344417922199
1,0.00022148746938910335,0.00017410302825737745
2,0.0001615238725207746,0.00011678547889459878
3,0.00013207878510002047,0.00010594937339192256
4,0.00011365543468855321,9.758680971572176e-05
5,0.00010012489656219259,7.916692993603647e-05
6,9.077797585632652e-05,7.117816858226433e-05
7,8.478556264890358e-05,7.121255475794896e-05
8,7.630608160980046e-05,5.836663694935851e-05
9,7.001147605478764e-05,5.875217539141886e-05
10,6.660632061539218e-05,4.800095848622732e-05
11,6.287558062467724e-05,5.4373602324631065e-05
12,5.985346797388047e-05,4.470353451324627e-05
13,5.8329726016381755e-05,3.724955240613781e-05
14,5.5492808314738795e-05,4.3094078137073666e-05
15,5.483847053255886e-05,4.000655098934658e-05
16,5.2448365750024095e-05,3.511550312396139e-05
17,4.387916123960167e-05,2.8560340069816448e-05
18,4.1371302359038964e-05,2.632988071127329e-05
19,4.029928459203802e-05,2.568039417383261e-05
20,3.961549373343587e-05,2.6029481887235306e-05
21,3.900512820109725e-05,2.4872133508324623e-05
22,3.820544225163758e-05,2.4411037884419784e-05
23,3.803854633588344e-05,2.436768772895448e-05
24,3.788275353144854e-05,2.428067455184646e-05
25,3.780962651944719e-05,2.4200195184675977e-05
26,3.7863450415898114e-05,2.4251457944046706e-05
